annotated,correction,host,broad,order
domesticturkey,turkey,avian,turkey,galliformes
fowl,fowl,avian,fowl,galliformes
goldenpheasant,golden_pheasant,avian,pheasant,galliformes
greenpeafowl,green_peafowl,avian,peafowl,galliformes
guinea_fowl,guinea_fowl,avian,guinea_fowl,galliformes
guineafowl,guinea_fowl,avian,guinea_fowl,galliformes
juvenileswan,swan,avian,swan,anseriformes
kalijpheasant,kalij_pheasant,avian,pheasant,galliformes
kaljipheasant,kalij_pheasant,avian,pheasant,galliformes
peafowl,peafowl,avian,peafowl,galliformes
pheasant,pheasant,avian,pheasant,galliformes
phasianuscolchicus,common_pheasant,avian,pheasant,galliformes
quail,quail,avian,quail,galliformes
qu,quail,avian,quail,galliformes
swan,swan,avian,swan,anseriformes
silverpheasant,silver_pheasant,avian,pheasant,galliformes
turkey,turkey,avian,turkey,galliformes
wild_waterfowl,waterfowl,avian,waterfowl,anseriformes
whitepeafowl,white_peafowl,avian,peafowl,galliformes
wildfowl,fowl,avian,fowl,galliformes
white-fronted_goose,white-fronted_goose,avian,goose,anseriformes
exotic_brid,exotic_bird,avian,avian,avian
gh,avian,avian,avian,avian
dk,avian,avian,avian,avian
gf,avian,avian,avian,avian
bird,avian,avian,avian,avian
avian,avian,avian,avian,avian
ck,avian,avian,avian,avian
gf,avian,avian,avian,avian
gs,avian,avian,avian,avian
ph,avian,avian,avian,avian
eg,avian,avian,avian,avian
sck,avian,avian,avian,avian
qa,avian,avian,avian,avian
g.h,avian,avian,avian,avian
environment,environment,environment,environment,environmen
aquaticbird,aquatic_bird,avian,avian,avian
anas_discors,blue-winged_teal,avian,duck,anseriformes
nightingale,nightingale,avian,passerine,neoave
americanbluewingedteal,american_blue-winged_teal,avian,duck,anseriformes
americancrow,american_crow,avian,passerine,neoave
american_green_winged_teal,American_green-winged_teal,avian,duck,anseriformes
americangreen-wingedteal,American_green-winged_teal,avian,duck,anseriformes
americanpelican,american_pelican,avian,pelican,neoave
american_wigeon,American_wigeon,avian,duck,anseriformes
americanwigeon,American_wigeon,avian,duck,anseriformes
arctictern,arctic_tern,avian,tern,charadriiformes
ardeacinerea,Grey_heron,avian,heron,neoave
ardeacinera,Grey_heron,avian,heron,neoave
babbler,Old_World_babbler,avian,passerine,neoave
baldeagle,bald_eagle,avian,raptor,neoave
barn_swallow,barn_swallow,avian,passerine,neoave
barnswallow,barn_swallow,avian,passerine,neoave
beardedvulture,bearded_vulture,avian,raptor,neoave
black-crownednightheron,Black-crowned_night_heron,avian,heron,neoave
black_crowned_night_heron,Black-crowned_night_heron,avian,heron,neoave
black-headedgull,black-headed_gull,avian,gull,charadriiformes
blackheadedgull,black-headed_gull,avian,gull,charadriiformes
black-neckedgrebe,black-necked_grebe,avian,grebe,neoave
blackneckedgrebe,black-necked_grebe,avian,grebe,neoave
black_swan,black_swan,avian,swan,anseriformes
blackswan,black_swan,avian,swan,anseriformes
blackbird,common_blackbird,avian,passerine,neoave
blackbulbul,black_bulbul,avian,passerine,neoave
blackskimmer,black_skimmer,avian,skimmer,charadriiformes
blackvulture,black_vulture,avian,raptor,neoave
bluemagpie,blue_magpie,avian,magpie,neoave
bluewingedteal,blue-winged_teal,avian,duck,anseriformes
brantgoose,brant_goose,avian,goose,anseriformes
brownheadedgull,brown-headed_gull,avian,gull,charadriiformes
brown-headedgull,brown-headed_gull,avian,gull,charadriiformes
brown-headgull,brown-headed_gull,avian,gull,charadriiformes
brown_headed_gull,brown-headed_gull,avian,gull,charadriiformes
brown_headedgull,brown-headed_gull,avian,gull,charadriiformes
buteobuteo,common_buzzard,avian,raptor,neoave
buzzard,buzzard,avian,raptor,neoave
cattleegret,cattle_egret,avian,heron,neoave
caspiangull,caspian_gull,avian,gull,charadriiformes
columbapalumbus,common_wood_pigeon,avian,pigeon,neoave
ccrow,crow,avian,crow,neoave
crow,crow,avian,crow,neoave
chestnutmunia,chestnut_munia,avian,finch,neoave
chiloewigeon,chiloe_wigeon,avian,duck,anseriformes
chinesepondheron,Chinese_pond_heron,avian,heron,neoave
chroicocephalusridibundus,black-headed_gull,avian,gull,charadriiformes
chukar,chukar,avian,partridge,galliformes
chukkar,chukar,avian,partridge,galliformes
ciconiaciconia,white_stork,avian,stork,neoave
commonbussard,common_buzzard,avian,passerine,neoave
commonbuzzard,common_buzzard,avian,passerine,neoave
commoncoot,common_coot,avian,coot,neoave
commoncrane,common_crane,avian,crane,neoave
commoneider,common_eider,avian,duck,anseriformes
commongull,common_gull,avian,gull,charadriiformes
commonkestrel,common_kestrel,avian,raptor,neoave
commonketrel,common_kestrel,avian,raptor,neoave
commonkestral,common_kestrel,avian,raptor,neoave
commonmagpie,common_green_magpie,avian,passerine,neoave
commonmyna,common_myna,avian,passerine,neoave
commonpochard,common_pochard,avian,duck,anseriformes
commonraven,common_raven,avian,passerine,neoave
commontern,common_tern,avian,tern,charadriiformes
condor,condor,avian,raptor,neoave
coopershawk,Coopers_hawk,avian,raptor,neoave
coot,coot,avian,coot,neoave
cormorant,cormorant,avian,cormorant,neoave
crane,crane,avian,crane,neoave
crested_eagle,crested_eagle,avian,raptor,neoave
crestedeagle,crested_eagle,avian,raptor,neoave
crestedgoshawk,crested_goshawk,avian,raptor,neoave
crestedmyna,crested_myna,avian,passerine,neoave
curlew,curlew,avian,wader,charadriiformes
dalmatianpelican,dalmatian_pelican,avian,pelican,neoave
daurianstarling,daurian_starling,avian,passerine,neoave
doublecrestedcormorant,double-crested_cormorant,avian,cormorant,neoave
dove,dove,avian,dove,neoave
eagle,eagle,avian,raptor,neoave
eagleowl,Eurasian_eagle-owl,avian,owl,neoave
earedgrebe,black-necked_grebe,avian,grebe,neoave
easternbuzzard,eastern_buzzard,avian,raptor,neoave
egret,egret,avian,heron,neoave
egrettagarzetta,little_egret,avian,heron,neoave
emu,emu,avian,emu,other
eurasian_coot,Eurasian_coot,avian,coot,neoave
eurasiancurlew,Eurasian_curlew,avian,wader,charadriiformes
eurasian_eagle_owl,Eurasian_eagle-owl,avian,owl,neoave
eurasianeagleowl,Eurasian_eagle-owl,avian,owl,neoave
eurasianeagelowl,Eurasian_eagle-owl,avian,owl,neoave
eurasiansparrowhawk,Eurasian_sparrowhawk,avian,raptor,neoave
eurasianspoonbill,Eurasian_spoonbill,avian,spoonbill,neoave
europeanherringgull,European_herring_gull,avian,gull,charadriiformes
eurasianwigeon,Eurasian_wigeon,avian,duck,anseriformes
falcon,falcon,avian,raptor,neoave
falcoperegrinus,peregrine_falcon,avian,raptor,neoave
feralpigeon,pigeon,avian,pigeon,neoave
finch,finch,avian,passerine,neoave
goldenmountainthrush,golden_mountain_thrush,avian,passerine,neoave
goldeneagle,golden_eagle,avian,raptor,neoave
graygull,gray_gull,avian,gull,charadriiformes
greenwingedteal,green-winged_teal,avian,duck,anseriformes
gadwall,gadwall,avian,duck,anseriformes
garganey,garganey,avian,duck,anseriformes
goshawk,Northern_goshawk,avian,raptor,neoave
gray-crowedcrane,grey_crowned_crane,avian,crane,neoave
grayheron,grey_heron,avian,heron,neoave
greatblackbackedgull,great_black-backed_gull,avian,gull,charadriiformes
greatblackheadedgull,great_black-backed_gull,avian,gull,charadriiformes
great_black_headed_gull,black-headed_gull,avian,gull,charadriiformes
greatblack-headedgull,black-headed_gull,avian,gull,charadriiformes
greatblack_headedgull,black-headed_gull,avian,gull,charadriiformes
great_cormorant,great_cormorant,avian,cormorant,neoave
greatcormorant,great_cormorant,avian,cormorant,neoave
great_created_grebe,great_crested_grebe,avian,grebe,neoave
great_crested_grebe,great_crested_grebe,avian,grebe,neoave
greatcrested-grebe,great_crested_grebe,avian,grebe,neoave
greatcrestedgrebe,great_crested_grebe,avian,grebe,neoave
greatdrestedgrebe,great_crested_grebe,avian,grebe,neoave
great_egret,great_egret,avian,heron,neoave
greategret,great_egret,avian,heron,neoave
greatbarbet,great_barbet,avian,barbet,neoave
greathornedowl,great_horned_owl,avian,owl,neoave
greattit,great_tit,avian,passerine,neoave
greatwhitepelican,great_white_pelican,avian,pelican,neoave
grebe,grebe,avian,grebe,neoave
greenheron,green_heron,avian,heron,neoave
grey_heron,grey_heron,avian,heron,neoave
greyheron,grey_heron,avian,heron,neoave
gull,gull,avian,gull,charadriiformes
gypaetusbarbatus,bearded_vulture,avian,raptor,neoave
hawaiiangoose,hawaiian_goose,avian,goose,anseriformes
hawk,hawk,avian,raptor,neoave
heron,heron,avian,heron,neoave
herringgull,herring_gull,avian,gull,charadriiformes
hill_myna,common_hill_myna,avian,passerine,neoave
hillmyna,common_hill_myna,avian,passerine,neoave
hoabara,houbara_bustard,avian,bustard,neoave
hooded_crane,hooded_crane,avian,crane,neoave
hoodedcrane,hooded_crane,avian,crane,neoave
hoodedvulture,hooded_vulture,avian,raptor,neoave
houbarabustard,houbara_bustard,avian,bustard,neoave
housecrow,house_crow,avian,crow,neoave
housesparrow,house_sparrow,avian,passerine,neoave
japanese_white_eye,Japanese_white-eye,avian,passerine,neoave
japanesewhite-eye,Japanese_white-eye,avian,passerine,neoave
japanesewhiteeye,Japanese_white-eye,avian,passerine,neoave
junglecrow,jungle_crow,avian,passerine,neoave
kestrel,kestrel,avian,raptor,neoave
knotwader,red_knot,avian,wader,charadriiformes
larusridibundus,black-headed_gull,avian,gull,charadriiformes
larusargentatus,European_herring_gull,avian,gull,charadriiformes
large-billedcrow,large-billed_crow,avian,passerine,neoave
largebilledcrow,large-billed_crow,avian,passerine,neoave
large_billedcrow,large-billed_crow,avian,passerine,neoave
laruscanus,common_gull,avian,gull,charadriiformes
lesserblackbackedgull,lesser_black-backed_gull,avian,gull,charadriiformes
lesserkestrel,lesser_kestrel,avian,raptor,neoave
littlecuckoo-dove,little_cuckoo-dove,avian,dove,neoave
little_egret,little_egret,avian,heron,neoave
little_grebe,little_grebe,avian,grebe,neoave
littleegret,little_egret,avian,heron,neoave
littlegrebe,little_grebe,avian,grebe,neoave
littleowl,little_owl,avian,owl,neoave
long-tailedshrike,long-tailed_shrike,avian,passerine,neoave
magpie,magpie,avian,passerine,neoave
magpie_robin,Oriental_magpie-robin,avian,passerine,neoave
magpierobin,magpie-robin,avian,passerine,neoave
marabou_stork,marabou_stork,avian,stork,neoave
maraboustork,marabou_stork,avian,stork,neoave
meleagrisgallopavo,wild_turkey,avian,turkey,galliformes
migratorybird,migratory_bird,avian,avian,avian
mixedwildbirds,mixed_wild_birds,avian,avian,avian
morusbassanus,northern_gannet,avian,gannet,neoave
moorhen,moorhen,avian,moorhen,neoave
mountain_hawk_eagle,mountain_hawk-eagle,avian,raptor,neoave
mountainhawk-eagle,mountain_hawk-eagle,avian,raptor,neoave
munia,munia,avian,passerine,neoave
mynah,myna,avian,passerine,neoave
mynas,myna,avian,passerine,neoave
neotropiccormorant,neotropic_cormorant,avian,cormorant,neoave
korean_native_chicken,korean_native_chicken,avian,chicken,galliformes
northerngoshawk,northern_goshawk,avian,raptor,neoave
notherngannet,northern_gannet,avian,gannet,neoave
anas_clypeata,northern_shoveler,avian,duck,anseriformes
northernshoveler,northern_shoveler,avian,duck,anseriformes
open-billedstork,open-billed_stork,avian,stork,neoave
open-billstork,open-billed_stork,avian,stork,neoave
open_bill_stork,open-billed_stork,avian,stork,neoave
open_billed_stork,open-billed_stork,avian,stork,neoave
openbill,open-billed_stork,avian,stork,neoave
openbill_stork,open-billed_stork,avian,stork,neoave
openbillstork,open-billed_stork,avian,stork,neoave
open_billstork,open-billed_stork,avian,stork,neoave
open_billedstork,open-billed_stork,avian,stork,neoave
open-billibis,open-billed_ibis,avian,ibis,neoave
orientalmagpierobin,Oriental_magpie-robin,avian,passerine,neoave
ostrich,ostrich,avian,ostrich,other
otusscops,Eurasian_scops_owl,avian,owl,neoave
oystercatcher,oystercatcher,avian,wader,charadriiformes
owl,owl,avian,owl,neoave
psittacine,parrot,avian,parrot,neoave
partridge,partridge,avian,partridge,galliformes
peacefuldove,peaceful_dove,avian,dove,neoave
peacock,peacock,avian,peafowl,galliformes
pelican,pelican,avian,pelican,neoave
pelecanuscrispus,Dalmatian_pelican,avian,pelican,neoave
pelecanusconspicillatus,Australian_pelican,avian,pelican,neoave
peregrine,peregrine_falcon,avian,raptor,neoave
peregrine_falcon,peregrine_falcon,avian,raptor,neoave
peregrinefalcon,peregrine_falcon,avian,raptor,neoave
peruvian_pelican,Peruvian_pelican,avian,pelican,neoave
peruvian_pelican,Peruvian_pelican,avian,pelican,neoave
phalacrocorax,phalacrocorax,avian,cormorant,neoave
phalacrocoraxcarbo,great_cormorant,avian,cormorant,neoave
pied_megpie,Australian_magpie,avian,passerine,neoave
piedmegpie,Australian_magpie,avian,passerine,neoave
pigeon,pigeon,avian,pigeon,neoave
red-billedstarling,read-breasted_starling,avian,passerine,neoave
redcrownedcrane,red-crowned_crane,avian,crane,neoave
redknot,red_knot,avian,wader,charadriiformes
redtailedhawk,red-tailed_hawk,avian,raptor,neoave
redshoulderedhawk,red-shouldered_hawk,avian,raptor,neoave
redbackedhawk,red-backed_hawk,avian,raptor,neoave
rhea,rhea,avian,rhea,other
robin,robin,avian,passerine,neoave
rollers,roller,avian,roller,neoave
rook,rook,avian,passerine,neoave
arenaria_interpres,ruddy_turnstone,avian,wader,charadriiformes
ruddyturnstone,ruddy_turnstone,avian,wader,charadriiformes
saker_falcon,saker_falcon,avian,raptor,neoave
sakerfalcon,saker_falcon,avian,raptor,neoave
sanderling,sanderling,avian,wader,charadriiformes
sandpiper,sandpiper,avian,wader,charadriiformes
sandwichtern,sandwich_tern,avian,tern,charadriiformes
scaly-breastedmunia,scaly-breasted_munia,avian,passerine,neoave
seaeagle,sea_eagle,avian,raptor,neoave
seagull,gull,avian,gull,charadriiformes
shorebird,shorebird,avian,avian,avian
shrike,shrike,avian,passerine,neoave
silver-earedmesia,silver-eared_mesia,avian,passerine,neoave
silverearedmesia,silver-eared_mesia,avian,passerine,neoave
slatybackedgull,slaty-backed_gull,avian,gull,charadriiformes
slaty-backedgull,slaty-backed_gull,avian,gull,charadriiformes
smew,smew,avian,duck,anseriformes
snowyowl,snowy_owl,avian,owl,neoave
songthrush,song_thrush,avian,passerine,neoave
sparrow,sparrow,avian,passerine,neoave
spotbilledduck,spot-billed_duck,avian,duck,anseriformes
spur-wingedlapwing,spur-winged_lapwing,avian,lapwing,charadriiformes
spurwingedgoose,spur-winged_goose,avian,goose,anseriformes
starling,starling,avian,starling,neoave
stonecurlew,stone_curlew,avian,wader,charadriiformes
stork,stork,avian,stork,neoave
swallow,swallow,avian,swallow,neoave
swiftlet,swiftlet,avian,swift,neoave
tachybaptusruficollis,little_grebe,avian,grebe,neoave
thalasseussandvicensis,sandwich_tern,avian,tern,charadriiformes
tree_sparrow,tree_sparrow,avian,passerine,neoave
treesparrow,tree_sparrow,avian,passerine,neoave
turtle_dove,turtle_dove,avian,dove,neoave
turtledove,turtle_dove,avian,dove,neoave
vulture,vulture,avian,raptor,neoave
watercock,watercock,avian,watercock,neoave
whitebackedmunia,white-backed_munia,avian,passerine,neoave
white-backedmunia,white-backed_munia,avian,passerine,neoave
whiteeyedpochard,white-eyed_pochard,avian,duck,anseriformes
whitestork,white_stork,avian,stork,neoave
whitetailedeagle,white-tailed_eagle,avian,raptor,neoave
withetiledeagle,white-tailed_eagle,avian,raptor,neoave
wild_bird,bird,avian,avian,avian
wildbird,bird,avian,avian,avian
wildturkey,wild_turkey,avian,turkey,galliformes
yellowleggedgull,yellow-legged_gull,avian,gull,charadriiformes
shoveler,northern_shoveler,avian,duck,anseriformes
semipalmated_sandpiper,semi-palmated_sandpiper,avian,wader,charadriiformes
equi_2,equine,equine,equine,equine
eq,equine,equine,equine,equine
finistere,swine,swine,swine,swine
equus_caballus,equine,equine,equine,equine
anas_strepera,American_black_duck,avian,duck,anseriformes
sus_scrofa_domesticus,swine,swine,swine,swine
horse,equine,equine,equine,equine
yellow-billed_pintail,yellow-billed_pintail,avian,duck,anseriformes
red-gartered_coot,red-gartered_coot,avian,coot,neoave
anas_cyanoptera,cinnamon_teal,avian,duck,anseriformes
mule_duck,mule_duck,avian,duck,anseriformes
wide_bird,avian,avian,avian,avian
sus_scrofa_scrofa,swine,swine,swine,swine
cat,feline,feline,feline,feline
sus_scrofa,swine,swine,swine,swine
wild_chicken,chicken,avian,chicken,galliformes
white_peckin_duck,peckin_duck,avian,duck,anseriformes
korean_native_chicken,korean_native_chicken,avian,chicken,galliformes
canis_lupus_familiaris,canine,canine,canine,canine
pink-eared_duck,pink-eared_duck,avian,duck,anseriformes
grey_teal,grey-teal_duck,avian,duck,anseriformes
emperor_goose,emperor_goose,avian,goose,anseriformes
anas_plathyrhynchos,mallard,avian,duck,anseriformes
clangula_hyemalis,long-tailed_duck,avian,duck,anseriformes
harbor_seal,harbor_seal,seal,seal,seal
american_oystercatcher,american_oystercatcher,avian,wader,charadriiformes
other_avian,avian,avian,avian,avian
red-crested_pochard,red-crested_pochard,avian,duck,anseriformes
red-necked_stint,red-necked_stint,avian,wader,charadriiformes
larus_hyperboreus,glaucous-winged_gull,avian,gull,charadriiformes
velvet_scoter,velvet_scoter,avian,duck,anseriformes
spectacled_eider,spectacled_eider,avian,duck,anseriformes
sooty_tern,sooty_tern,avian,tern,charadriiformes
chestnut_teal,chestnut_teal,avian,duck,anseriformes
larus_atricilla,laughing_gull,avian,gull,charadriiformes
anas_rubripes,American_black_duck,avian,duck,anseriformes
anseriformes,waterfowl,avian,waterfowl,anseriformes
pig,swine,swine,swine,swine
aythya_collaris,ring-necked_duck,avian,duck,anseriformes
wild_birds,wild_birds,avian,avian,avian
sw,swine,swine,swine,swine
equine,equine,equine,equine,equine
anas_platyrhynchos_x_anas_acuta,mallard-pintail_hybrid,avian,duck,anseriformes
green-winged_teal(anas_crecca),green-winged_teal,avian,duck,anseriformes
branta_leucopsis,barnacle_goose,avian,goose,anseriformes
equus_ferus_caballus,equine,equine,equine,equine
anser_cygnoides,swan_goose,avian,goose,anseriformes
oxyura_jamaicensis,ruddy_duck,avian,duck,anseriformes
anser_caerulescens,snow_goose,avian,goose,anseriformes
bucefala_clangula,common_goldeneye,avian,duck,anseriformes
corvus_frugilegus,rook,avian,passerine,neoave
cygnus_columbianus,tundra_swan,avian,swan,anseriformes
lesser_scaup,lesser_scaup,avian,duck,anseriformes
aix_sponsa,wood_duck,avian,duck,anseriformes
anas_sp.,duck,avian,duck,anseriformes
felis_catus,feline,feline,feline,feline
wild_boar,swine,swine,swine,swine
bufflehead,bufflehead,avian,duck,anseriformes
calidris_pusilla,semi-palmated_sandpiper,avian,wader,charadriiformes
calidris_alba,sanderling,avian,wader,charadriiformes
calidris_canutus,red_knot,avian,wader,charadriiformes
anser_albifrons,Greater_white-fronted_goose,avian,goose,anseriformes
swine,swine,swine,swine,swine
seal,seal,seal,seal,seal
canine,canine,canine,canine,canine
feline,feline,feline,feline,feline
mink,mink,mink,mink,mink
pet_bird,pet_bird,avian,avian,avian
redhead,redhead,avian,duck,anseriformes
donkey,donkey,equine,donkey,equine
camel,camel,camel,camel,camel
black_scoter,black_scoter,avian,duck,anseriformes
animal,animal,animal,animal,animal
common_teal,eurasian_teal,avian,duck,anseriformes
northen_pintail,northern_pintail,avian,duck,anseriformes
ferret,ferret,ferret,ferret,ferret
red-necked_grebe,red-necked_grebe,avian,grebe,neoave
mallard-black_duck_hybrid,mallard-black_duck_hybrid,avian,duck,anseriformes
pintail_duck,northern_pintail,avian,duck,anseriformes
